ID,Length,Rank,Belief
7,12000,184,0.008855
7,12500,184,0.008993
7,13000,184,0.008988
7,13500,184,0.009126
7,14000,184,0.009304
7,14500,184,0.009425
7,15000,184,0.009422
7,15500,184,0.009673
7,16000,184,0.009673
7,16500,184,0.009660
7,17000,184,0.009641
7,17500,184,0.009593
7,18000,185,0.009574
7,18500,185,0.009552
7,19000,186,0.009512
7,19500,187,0.009490
7,20000,188,0.009437
7,20500,190,0.009388
7,21000,190,0.009384
7,21500,191,0.009374
8,0,264,0.004691
8,500,241,0.005053
8,1000,203,0.005616
8,1500,208,0.005952
8,2000,219,0.006535
8,2500,221,0.006473
8,3000,208,0.006807
8,3500,171,0.006826
8,4000,175,0.007362
8,4500,175,0.007318
8,5000,179,0.007283
8,5500,181,0.007739
8,6000,183,0.007573
8,6500,160,0.007584
8,7000,161,0.007466
8,7500,159,0.007361
8,8000,160,0.007389
8,8500,161,0.007359
8,9000,161,0.007298
8,9500,161,0.007536
8,10000,163,0.007831
8,10500,164,0.007952
8,11000,164,0.008134
8,11500,164,0.008269
8,12000,165,0.008667
8,12500,165,0.008502
8,13000,147,0.008586
8,13500,147,0.008574
8,14000,149,0.008430
8,14500,149,0.008422
8,15000,150,0.008679
8,15500,151,0.008600
8,16000,152,0.008522
8,16500,153,0.008465
8,17000,153,0.008459
8,17500,146,0.008435
8,18000,146,0.008406
8,18500,146,0.008718
8,19000,146,0.008647
8,19500,146,0.008623
8,20000,146,0.008602
8,20500,146,0.008611
8,21000,146,0.008584
8,21500,146,0.008580
8,22000,146,0.008710
8,22500,146,0.008866
8,23000,146,0.008865
8,23500,146,0.008859
8,24000,146,0.008845
8,24500,146,0.008843
8,25000,146,0.008825
8,25500,146,0.008819
8,26000,146,0.008790
8,26500,147,0.008759
8,27000,150,0.008927
8,27500,150,0.009309
8,28000,150,0.009308
8,28500,151,0.009414
8,29000,151,0.009621
8,29500,154,0.009501
8,30000,155,0.009527
8,30500,156,0.009492
8,31000,158,0.009486
8,31500,159,0.009455
9,0,47,0.004955
9,500,35,0.005682
9,1000,23,0.006648
9,1500,30,0.005996
9,2000,35,0.006252
9,2500,9,0.007109
9,3000,10,0.007342
9,3500,23,0.007741
9,4000,9,0.007705
9,4500,14,0.007676
9,5000,15,0.007607
9,5500,2,0.007500
9,6000,2,0.007507
9,6500,6,0.007729
9,7000,3,0.007850
9,7500,5,0.008188
9,8000,7,0.008056
9,8500,8,0.007821
9,9000,9,0.008018
9,9500,10,0.007948
9,10000,12,0.007922
9,10500,15,0.008158
9,11000,8,0.008557
9,11500,9,0.008453
9,12000,7,0.008987
9,12500,8,0.008837
9,13000,9,0.009313
9,13500,10,0.009132
9,14000,8,0.009326
9,14500,10,0.009484
9,15000,4,0.009716
9,15500,4,0.009566
9,16000,3,0.009715
9,16500,3,0.009590
9,17000,3,0.009690
9,17500,4,0.009896
9,18000,4,0.010040
9,18500,4,0.009918
9,19000,5,0.010093
9,19500,5,0.010084
10,0,34,0.004704
10,500,30,0.005046
10,1000,20,0.005716
10,1500,13,0.006496
10,2000,6,0.007297
10,2500,7,0.007144
10,3000,10,0.007128
10,3500,13,0.006902
10,4000,14,0.007115
10,4500,21,0.007542
10,5000,18,0.007359
10,5500,18,0.007505
10,6000,16,0.007794
10,6500,12,0.008028
10,7000,14,0.008019
10,7500,14,0.008077
10,8000,12,0.008411
10,8500,8,0.008377
10,9000,7,0.008607
10,9500,2,0.008423
10,10000,2,0.008242
10,10500,2,0.008474
10,11000,3,0.008614
10,11500,3,0.008630
10,12000,2,0.008957
10,12500,2,0.009196
10,13000,3,0.009514
10,13500,3,0.009682
10,14000,3,0.009568
10,14500,3,0.009450
10,15000,3,0.009631
10,15500,3,0.009552
10,16000,3,0.009446
11,0,33,0.004779
11,500,29,0.005180
11,1000,20,0.005716
11,1500,12,0.006435
11,2000,6,0.006784
11,2500,3,0.007654
11,3000,3,0.007727
11,3500,3,0.007644
11,4000,2,0.007801
11,4500,5,0.007795
11,5000,8,0.007481
11,5500,8,0.007699
11,6000,8,0.007986
11,6500,7,0.007848
11,7000,6,0.007760
11,7500,8,0.007949
11,8000,7,0.008417
11,8500,7,0.008183
11,9000,7,0.008404
12,0,184,0.007010
12,500,181,0.007023
12,1000,169,0.006967
12,1500,232,0.006900
12,2000,208,0.007046
12,2500,224,0.007198
12,3000,232,0.007354
12,3500,236,0.007525
12,4000,239,0.007937
12,4500,240,0.007857
12,5000,225,0.007991
12,5500,211,0.008262
12,6000,211,0.008521
12,6500,214,0.008452
12,7000,214,0.008490
12,7500,214,0.008954
12,8000,216,0.008760
12,8500,217,0.008743
12,9000,217,0.008915
12,9500,217,0.009145
12,10000,218,0.009407
12,10500,219,0.009389
12,11000,219,0.009382
12,11500,219,0.009371
12,12000,219,0.009343
12,12500,219,0.009316
12,13000,219,0.009289
12,13500,219,0.009438
12,14000,219,0.009396
12,14500,211,0.009425
12,15000,211,0.009442
12,15500,211,0.009366
12,16000,214,0.009353
12,16500,214,0.009505
12,17000,215,0.009567
12,17500,215,0.009556
12,18000,215,0.009531
12,18500,216,0.009472
12,19000,217,0.009456
12,19500,218,0.009350
12,20000,218,0.009320
12,20500,218,0.009294
12,21000,219,0.009257
12,21500,219,0.009240
12,22000,219,0.009176
12,22500,219,0.009164
12,23000,204,0.009251
12,23500,173,0.009188
12,24000,174,0.009161
13,0,7,0.004157
13,500,5,0.005258
13,1000,2,0.005899
13,1500,2,0.005752
13,2000,3,0.005916
13,2500,3,0.005874
13,3000,3,0.005861
13,3500,7,0.005830
13,4000,3,0.006334
13,4500,4,0.006714
13,5000,5,0.006498
13,5500,5,0.006473
13,6000,5,0.006457
13,6500,5,0.006446
13,7000,5,0.006446
13,7500,5,0.006434
13,8000,5,0.006425
13,8500,5,0.006425
13,9000,5,0.006425
13,9500,5,0.006409
14,0,17,0.004185
14,500,9,0.005269
14,1000,9,0.005947
14,1500,3,0.005715
14,2000,3,0.006142
14,2500,4,0.006269
14,3000,4,0.006227
14,3500,4,0.006445
14,4000,2,0.006505
14,4500,6,0.006528
14,5000,6,0.006464
14,5500,6,0.006483
14,6000,6,0.006458
14,6500,6,0.006445
14,7000,6,0.006441
14,7500,6,0.006441
14,8000,6,0.006441
14,8500,6,0.006437
14,9000,6,0.006432
14,9500,6,0.006428
15,0,20,0.004195
15,500,11,0.005320
15,1000,2,0.005710
15,1500,2,0.006171
15,2000,4,0.006050
15,2500,3,0.006004
15,3000,3,0.006267
15,3500,3,0.006591
15,4000,3,0.006495
15,4500,3,0.006693
15,5000,3,0.006642
15,5500,3,0.006627
15,6000,3,0.006601
15,6500,3,0.006555
15,7000,3,0.006551
15,7500,3,0.006529
15,8000,3,0.006843
15,8500,3,0.006803
15,9000,3,0.006659
15,9500,3,0.006659
16,0,71,0.004154
16,500,43,0.005178
16,1000,49,0.005750
16,1500,85,0.005914
16,2000,33,0.006221
16,2500,27,0.006421
16,3000,21,0.006628
16,3500,18,0.007201
16,4000,25,0.007413
16,4500,6,0.007656
16,5000,4,0.007155
17,0,103,0.004226
17,500,63,0.005293
17,1000,70,0.005813
17,1500,67,0.006127
17,2000,39,0.006570
17,2500,44,0.006864
17,3000,23,0.007716
17,3500,20,0.007530
17,4000,16,0.008301
17,4500,7,0.007941
18,0,114,0.004238
18,500,98,0.005730
18,1000,84,0.005545
18,1500,81,0.006048
18,2000,32,0.006195
18,2500,39,0.006537
18,3000,29,0.006848
18,3500,37,0.006957
18,4000,25,0.007389
18,4500,11,0.007000
19,0,104,0.004153
19,500,158,0.004914
19,1000,80,0.005176
19,1500,33,0.005711
19,2000,52,0.005873
19,2500,52,0.005861
19,3000,52,0.005848
19,3500,52,0.005828
19,4000,52,0.005810
19,4500,53,0.005787
19,5000,53,0.005780
19,5500,56,0.005786
19,6000,56,0.005782
20,0,88,0.004150
20,500,156,0.004898
20,1000,91,0.005369
20,1500,30,0.005638
20,2000,47,0.005896
20,2500,47,0.005852
20,3000,47,0.005811
20,3500,47,0.005791
20,4000,48,0.005778
20,4500,48,0.005775
20,5000,48,0.005772
20,5500,48,0.005761
20,6000,48,0.005752
20,6500,48,0.005747
21,0,95,0.004146
21,500,66,0.004831
21,1000,61,0.005070
21,1500,64,0.005681
21,2000,54,0.005927
21,2500,54,0.005894
21,3000,54,0.005865
21,3500,54,0.005827
21,4000,55,0.005797
21,4500,55,0.005788
21,5000,55,0.005782
21,5500,55,0.005779
21,6000,55,0.005779
21,6500,55,0.005779
22,0,248,0.004627
22,500,226,0.004914
22,1000,243,0.005886
22,1500,238,0.005794
22,2000,248,0.006017
22,2500,255,0.006059
22,3000,257,0.006234
22,3500,257,0.006310
22,4000,257,0.006428
22,4500,258,0.006565
22,5000,259,0.006648
22,5500,259,0.006797
22,6000,259,0.006718
22,6500,259,0.006755
22,7000,259,0.006772
22,7500,247,0.006851
22,8000,247,0.006839
22,8500,247,0.006902
22,9000,247,0.007194
22,9500,248,0.007176
22,10000,237,0.007249
22,10500,214,0.007158
22,11000,216,0.007140
22,11500,216,0.007233
22,12000,216,0.007260
22,12500,217,0.007222
22,13000,205,0.007197
22,13500,205,0.007162
22,14000,205,0.007098
22,14500,207,0.007130
22,15000,207,0.007224
22,15500,207,0.007236
22,16000,208,0.007256
22,16500,210,0.007265
22,17000,210,0.007256
22,17500,211,0.007230
22,18000,212,0.007361
22,18500,212,0.007346
23,0,244,0.004470
23,500,222,0.004763
23,1000,239,0.005680
23,1500,231,0.005844
23,2000,244,0.005943
23,2500,233,0.005972
23,3000,234,0.005982
23,3500,236,0.006216
23,4000,237,0.006144
23,4500,240,0.006292
23,5000,242,0.006328
23,5500,243,0.006514
23,6000,243,0.006551
23,6500,244,0.006634
23,7000,244,0.006804
23,7500,245,0.006830
23,8000,245,0.006903
23,8500,247,0.006966
23,9000,247,0.006950
23,9500,235,0.006984
23,10000,223,0.006919
23,10500,224,0.006853
23,11000,224,0.006988
23,11500,225,0.007044
23,12000,226,0.007011
23,12500,226,0.007035
23,13000,226,0.007060
23,13500,226,0.007126
23,14000,226,0.007128
23,14500,226,0.007255
23,15000,227,0.007223
23,15500,229,0.007212
23,16000,229,0.007318
23,16500,230,0.007331
23,17000,230,0.007532
23,17500,231,0.007494
23,18000,231,0.007545
23,18500,231,0.007647
23,19000,232,0.007592
23,19500,232,0.007745
23,20000,232,0.007814
23,20500,232,0.007851
23,21000,232,0.007882
23,21500,232,0.007843
23,22000,232,0.007826
23,22500,232,0.007986
23,23000,232,0.007928
23,23500,232,0.007993
23,24000,232,0.008097
23,24500,232,0.007993
23,25000,232,0.008098
23,25500,232,0.008233
23,26000,232,0.008150
23,26500,232,0.008131
23,27000,233,0.008254
24,0,248,0.004668
24,500,228,0.004991
24,1000,245,0.005917
24,1500,254,0.005475
24,2000,263,0.005850
24,2500,255,0.005632
24,3000,255,0.005852
24,3500,256,0.005981
24,4000,257,0.006041
24,4500,258,0.006280
24,5000,261,0.006393
24,5500,261,0.006469
24,6000,261,0.006495
24,6500,261,0.006475
24,7000,262,0.006668
24,7500,262,0.006663
24,8000,262,0.006846
24,8500,262,0.006827
24,9000,248,0.007032
24,9500,249,0.006995
24,10000,249,0.006978
24,10500,233,0.006992
24,11000,234,0.007052
24,11500,235,0.007102
24,12000,235,0.007179
24,12500,236,0.007272
24,13000,236,0.007387
24,13500,226,0.007313
24,14000,227,0.007298
24,14500,227,0.007242
24,15000,227,0.007344
24,15500,228,0.007480
24,16000,228,0.007454
24,16500,228,0.007479
24,17000,228,0.007457
24,17500,228,0.007441
24,18000,228,0.007421
24,18500,228,0.007370
24,19000,228,0.007459
24,19500,228,0.007507
24,20000,228,0.007639
24,20500,228,0.007590
24,21000,228,0.007557
